Track,Artist,Track Score,Spotify Streams,Release Date,Album Name
MILLION DOLLAR BABY,Tommy Richman,17.745744326284566,-0.10571708884138446,0.8963211221435567,Million Dollar Baby - Single
Not Like Us,Kendrick Lamar,13.086335908802194,-0.22973092323287303,0.9023325415514241,Not Like Us
i like the way you kiss me,Artemas,12.891653105843321,0.28589630526553517,0.8677668799561871,I like the way you kiss me
Flowers,Miley Cyrus,10.464607495622701,2.9419403400309663,0.5431502319313517,Flowers - Single
Houdini,Eminem,9.903921023101146,-0.6321741638187196,0.9226210820529763,Houdini
Lovin On Me,Jack Harlow,9.561279289893529,0.4147191671795285,0.7700813145783431,Lovin On Me
Beautiful Things,Benson Boone,9.486001939416097,0.8409824940722007,0.8219298069711987,Beautiful Things
Gata Only,FloyyMenor,8.670929937694948,0.42291724848857337,0.83320121836095,Gata Only
Danza Kuduro - Cover,MUSIC LAB JPN,8.149180025765167,2.239351512719793,0.9293839288868271,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -
BAND4BAND (feat. Lil Baby),Central Cee,7.497641578529471,-0.6625583356974506,0.916609662645109,BAND4BAND (feat. Lil Baby)
I Had Some Help (feat. Morgan Wallen),Post Malone,7.277001068509415,-0.36647994339210604,0.9068411061073246,I Had Some Help
The Door,Teddy Swims,7.2276814250931665,-0.6245212473988565,0.9331410660167442,The Door
LUNCH,Billie Eilish,7.126446367554553,-0.41931253723565926,0.9121010980892085,HIT ME HARD AND SOFT
Like That,Future,6.9161889403589685,-0.1712548954167965,0.8700211622341373,WE DON'T TRUST YOU
bathroom floor,Kids With Buns,6.744868073755161,-0.8304299747782967,0.4702617716109604,bathroom floor
LALA,Myke Towers,6.700739971751148,0.8883405557245547,0.5949987243242073,LALA - Single
Fortnight (feat. Post Malone),Taylor Swift,6.641037245510429,-0.09649975528785684,0.8903097027356894,THE TORTURED POETS DEPARTMENT
greedy,Tate McRae,6.539802187971813,1.5066988017099745,0.7272499512972884,greedy
BLUE,Billie Eilish,6.511248710204513,-0.6614515269716755,0.9121010980892085,HIT ME HARD AND SOFT
As It Was,Harry Styles,6.495674085967803,5.301843558633455,0.32749056067411153,As It Was
Paint The Town Red,Doja Cat,6.4567375253760275,1.1479021094967894,0.6964414268319683,Paint The Town Red
Espresso,Sabrina Carpenter,6.22311816182538,0.18666151787520024,0.885801138179789,Espresso
Danza Kuduro - Cover,MUSIC LAB JPN,6.158223894172422,2.2441014652961275,0.9151068077931421,CLUB DE YOKUKIKU YOUGAKU MEDLEY
TEXAS HOLD 'EM,Beyoncï¿,6.155628123466303,-0.03842302061446157,0.8392126377688173,TEXAS HOLD 'EM
Beat Automotivo Tan Tan Tan Viral,WZ Beat,5.8752848872055266,-0.8172691540698336,0.36806764167721595,Beat Automotivo Tan Tan Tan Viral
STAY (with Justin Bieber),The Kid LAROI,5.8285610144953965,4.940179353116676,0.1283622927885065,STAY (with Justin Bieber)
Baby Shark,Pinkfong,5.812986390258686,0.5078821125425,-1.4098096481995444,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý
we can't be friends (wait for your love),Ariana Grande,5.737709039781256,0.26687471310533845,0.8595011782703694,eternal sunshine
Numb / Encore,JAY-Z,5.561196631765211,1.0324015162835884,0.885801138179789,Papercuts
Danza Kuduro - Cover,LOVE BGM JPN,5.400258847985875,2.2246058507900033,0.9098468158112583,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý
SHEESH,BABYMONSTER,5.080979051133323,-0.599003641910181,0.8775354364939714,BABYMONS7ER
Water,Tyla,5.005701700655893,0.4141818944282582,0.6911814348500844,Water
Strangers,Kenya Grace,4.97714822288859,0.5623638530219794,0.717481394759504,Strangers
Too Sweet,Hozier,4.927828579472343,0.15718426018657997,0.8700211622341373,Unreal Unearth: Unheard
What's Love Got to Do with It - 2023 Remaster,Tina Turner,4.88629624817445,0.05949395991348442,0.8963211221435567,What's Love Got to Do with It (30th Anniversary Deluxe Edition)
A Bar Song (Tipsy),Shaboozey,4.792848502754191,-0.2516026061846353,0.885801138179789,A Bar Song (Tipsy)
Lose Control,Teddy Swims,4.73314577651347,0.608762337319665,0.664881474940665,Lose Control
